Ref,Val,Package,PosX,PosY,Rot,Side
"D3","d","D_0402_1005Metric",1.945000,6.525000,90.000000,bottom
"D4","d","D_0402_1005Metric",21.161938,6.470352,90.000000,bottom
"D5","d","D_0402_1005Metric",74.550091,9.577676,90.000000,bottom
"D6","d","D_0402_1005Metric",93.452740,6.167338,90.000000,bottom
"J4","Pico Ezmate","Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical",35.045000,5.375000,-90.000000,bottom
"J5","Pico Ezmate","Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical",75.305000,5.105000,90.000000,bottom
"SW3","MX_SW_HS","SW_MX_HS_1u",9.525000,9.525000,180.000000,bottom
"SW4","MX_SW_HS","SW_MX_HS_1u",28.525000,9.525000,180.000000,bottom
"SW5","MX_SW_HS","SW_MX_HS_1u",81.895000,9.605000,180.000000,bottom
"SW6","MX_SW_HS","SW_MX_HS_1u",100.815000,9.605000,180.000000,bottom
