Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",62.182214,30.072557,90.000000,top
"C2","1uF","C_0402_1005Metric",56.315000,29.105000,90.000000,top
"C3","100nF","C_0402_1005Metric",64.815000,30.605000,-90.000000,top
"C4","27pF","C_0402_1005Metric",89.009884,29.297420,90.000000,top
"C5","27pF","C_0402_1005Metric",92.615000,32.605000,0.000000,top
"C6","100nF","C_0402_1005Metric",76.765000,34.105000,180.000000,top
"C7","100nF","C_0402_1005Metric",88.135000,31.605000,0.000000,top
"C8","100nF","C_0402_1005Metric",85.318016,24.237345,-90.000000,top
"C9","100nF","C_0402_1005Metric",79.815000,36.085000,90.000000,top
"C10","100nF","C_0402_1005Metric",78.926623,26.146343,180.000000,top
"C11","100nF","C_0402_1005Metric",83.539949,36.072638,90.000000,top
"C12","1uF","C_0402_1005Metric",75.186995,31.249232,180.000000,top
"C13","100nF","C_0402_1005Metric",88.115000,32.605000,0.000000,top
"C14","100nF","C_0402_1005Metric",76.765000,33.105000,180.000000,top
"C15","1uF","C_0402_1005Metric",75.186995,30.249232,180.000000,top
"D1","d","D_0402_1005Metric",3.815000,22.605000,180.000000,top
"D2","d","D_0402_1005Metric",109.315000,22.105000,0.000000,top
"F1","500mA","Fuse_1206_3216Metric",61.315000,35.105000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-14",55.805000,38.665000,180.000000,top
"J2","Pico Ezmate","Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical",51.015000,23.005000,0.000000,top
"J3","Pico Ezmate","Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical",61.015000,23.005000,0.000000,top
"R1","5.1k","R_0402_1005Metric",59.015000,35.005000,90.000000,top
"R2","5.1k","R_0402_1005Metric",53.715000,35.705000,-90.000000,top
"R3","1k","R_0402_1005Metric",90.615000,32.605000,180.000000,top
"R4","1k","R_0805_2012Metric",52.633750,29.130000,-90.000000,top
"R5","27.4","R_0402_1005Metric",72.825000,35.605000,-90.000000,top
"R6","27.4","R_0402_1005Metric",73.815000,35.605000,-90.000000,top
"SW1","EC11E18244A5","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",16.315000,28.105000,180.000000,top
"SW2","EC11E18244A5","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",95.315000,33.105000,0.000000,top
"SW7","SW_Push","SKQG-1155865",45.815000,30.005000,0.000000,top
"U1","RP2040","RP2040-QFN-56",82.540000,30.880000,90.000000,top
"U2","SRV05-4","SOT-23-6-routable",56.327048,33.681164,180.000000,top
"U3","XC6206","SOT-23-3",58.877500,29.605000,0.000000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",68.170000,30.505000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",91.615000,30.105000,180.000000,top
